Name,YC Page,Batch,Industry,Description,Website,Founding Year,Headquarters,Founders,Founders_LinkedIn,Founders_Twitter
Verata,https://www.ycombinator.com/companies/verata,Winter 2023,B2B,"Network Intelligence for Investors. Founded in 2025 by Josh Gardner and Nicholas Manske, Verata has 2 employees based in San Francisco, CA, USA.",https://www.veratainsight.com,2025,"San Francisco, CA, USA",Nicholas Manske; Josh Gardner; The Problem,https://www.linkedin.com/in/nicholas-manske/; https://www.linkedin.com/in/josh-gardner-957903134/; https://www.linkedin.com/in/nicholas-manske/,; ; 
Finni Health,https://www.ycombinator.com/companies/finni-health,Winter 2023,Healthcare; Consumer Health and Wellness,"Empowering Autism Care Providers to Go Independent. Founded in 2022 by Yilun Chen and Bucky Khan, Finni Health has 40 employees based in . Finni Health is hiring for 6 roles in engineering and operations.",https://www.finnihealth.com,2022,,Bucky Khan; Yilun Chen; Our Story,https://www.linkedin.com/in/bukhtarkhan/; https://www.linkedin.com/in/yilunc/; https://www.linkedin.com/in/bukhtarkhan/,https://twitter.com/BukhtarK; https://twitter.com/yilunch; 
Invitris,https://www.ycombinator.com/companies/invitris,Winter 2023,Healthcare; Drug Discovery and Delivery,"Creating new protein-based drugs at scale. Founded in 2022 by Patrick Grossmann and Kilian Vogele, Invitris has 6 employees based in Munich, Germany.",https://invitris.com,2022,"Munich, Germany",Patrick Grossmann; Kilian Vogele; —,https://www.linkedin.com/in/patrickgrossmannbioinformatics/; https://www.linkedin.com/in/kilian-vogele-21a321183/; https://www.linkedin.com/in/kilian-vogele-21a321183/,; ; 
Adventris Pharmaceuticals,https://www.ycombinator.com/companies/adventris-pharmaceuticals,Winter 2023,Healthcare; Drug Discovery and Delivery,"Adventris makes cancer vaccines. Founded in 2022 by William Collis, Jen Herbach, and Mark Yarchoan, Adventris Pharmaceuticals has 7 employees based in Baltimore, MD, USA.",https://adventris.com,2022,"Baltimore, MD, USA",Jen Herbach; William Collis,https://www.linkedin.com/in/jennylesser/; https://www.linkedin.com/in/william-collis-145a2511/,; https://twitter.com/William_Collis
Untether Labs,https://www.ycombinator.com/companies/untether-labs,Winter 2023,Healthcare,"Scheduling software for digital health clinics to do more with less. Founded in 2022 by Aditya Sharma, Untether Labs has 6 employees based in . Untether Labs is hiring for 2 roles in engineering.",https://untetherlabs.com,2022,,Aditya Sharma; 🤯 PROBLEM · MARGIN,https://linkedin.com/in/sharmaed; https://linkedin.com/in/sharmaed,https://twitter.com/sharmaed; 
Edge,https://www.ycombinator.com/companies/edge,Winter 2023,B2B; Legal,"The ultimate patent assistant. Founded in 2020 by Len Boyette and Evan Zimmerman, Edge has 2 employees based in .",https://withedge.com,2020,,Evan Zimmerman; Len Boyette,https://linkedin.com/in/ejz; https://www.linkedin.com/in/lenb/,https://twitter.com/ejzim; https://twitter.com/kevlened
Benchmark,https://www.ycombinator.com/companies/benchmark,Winter 2023,B2B; Finance and Accounting,"Decision infrastructure for investment firms. Founded in 2023 by Alec Dunn and Connor Janson, Benchmark has 7 employees based in New York, NY, USA. Benchmark is hiring for 1 roles in engineering.",https://withbenchmark.com,2023,"New York, NY, USA",Alec Dunn; Connor Janson,https://www.linkedin.com/in/alec-dunn/; https://linkedin.com/in/connorjanson,; 
Vocode,https://www.ycombinator.com/companies/vocode,Winter 2023,B2B,"Open source Voice AI. Founded in 2023 by Kian Hooshmand and Ajay Raj, Vocode has 3 employees based in San Francisco, CA, USA.",https://vocode.dev,2023,"San Francisco, CA, USA",Kian Hooshmand; Ajay Raj,https://www.linkedin.com/in/kianhooshmand/; https://www.linkedin.com/in/ajaynraj/,https://twitter.com/kianhooshmand; https://twitter.com/ajaynraj
Wallbit,https://www.ycombinator.com/companies/wallbit,Winter 2023,Fintech; Banking and Exchange,"Neobank for global remote workers. Founded in 2022 by Tomas Bruzza, Braian Fritz, Martin Gira, and Rodrigo Vidal, Wallbit has 17 employees based in Buenos Aires, Argentina.",https://wallbit.io,2022,"Buenos Aires, Argentina",Rodrigo Vidal; Tomas Bruzza; Braian Fritz; Martin Gira,https://linkedin.com/in/rodrigovidal05; https://www.linkedin.com/in/tomasbruzza/; https://www.linkedin.com/in/braian-nicolas-fritz-887966144/; https://www.linkedin.com/in/martintg,https://twitter.com/rodrividal_; https://twitter.com/tomasbruzza; https://twitter.com/braian_fritz; https://twitter.com/martin_tito_99
Vellum,https://www.ycombinator.com/companies/vellum,Winter 2023,"B2B; Engineering, Product and Design","The AI Product Development Platform. Founded in 2023 by Noa Flaherty, Sidd Seethepalli, and Akash Sharma, Vellum has 23 employees based in New York, NY, USA. Vellum is hiring for 5 roles in engineering, marketing, and sales.",https://www.vellum.ai,2023,"New York, NY, USA",Akash Sharma; Sidd Seethepalli; Noa Flaherty,https://www.linkedin.com/in/akash-sharma53/; https://www.linkedin.com/in/siddseethepalli/; https://www.linkedin.com/in/noaflaherty/,; ; 
rex.fit,https://www.ycombinator.com/companies/rex-fit,Winter 2023,Consumer,"Automating nutrition tracking. Founded in 2023 by Ahmad Roumie, rex.fit has 2 employees based in Zürich, Switzerland.",https://www.rex.fit,2023,"Zürich, Switzerland",Ahmad Roumie,https://www.linkedin.com/in/ahmad-roumie-1a59a417a/,
Persist AI,https://www.ycombinator.com/companies/persist-ai,Winter 2023,Healthcare; Drug Discovery and Delivery,"Developing long-lasting drug formulations 50% faster. Founded in 2022 by Karthik Raman and Christopher Shelner, Persist AI has 6 employees based in Woodland, CA, USA.",http://www.persist-ai.com,2022,"Woodland, CA, USA",Karthik Raman; Christopher Shelner,https://www.linkedin.com/in/karthik-raman-scientist/; http://www.linkedin.com/in/christophershelner/,; 
Berry,https://www.ycombinator.com/companies/berry,Winter 2023,B2B; Operations,"Scale customer success and onboarding with AI . Founded in 2023 by Ann Chan and Yan Fu, Berry has 8 employees based in San Francisco, CA, USA. Berry is hiring for 1 roles in engineering.",https://berryai.com,2023,"San Francisco, CA, USA",Ann Chan,https://www.linkedin.com/in/annchanyt,https://twitter.com/annchanyt
Conduit,https://www.ycombinator.com/companies/conduit,Winter 2023,B2B; Supply Chain and Logistics,"Replacing the spreadsheets and email chains that run every warehouse…. Founded in 2023 by Conrad Lilleness, Conduit has 13 employees based in San Francisco, CA, USA. Conduit is hiring for 4 roles in engineering, product, and operations.",http://helloconduit.com,2023,"San Francisco, CA, USA",Conrad Lilleness,https://www.linkedin.com/in/conradlilleness/,
SuperAPI,https://www.ycombinator.com/companies/superapi,Winter 2023,B2B; Infrastructure,"Programmable API gateway that makes APIs cacheable. Founded in 2022 by Adithya Kavuluru, SuperAPI has 2 employees based in Chennai, Tamil Nadu, India.",https://trysuperapi.com,2022,"Chennai, Tamil Nadu, India",Adithya Kavuluru,https://www.linkedin.com/in/adithya-kavuluru/,
Unstatiq,https://www.ycombinator.com/companies/unstatiq,Winter 2023,B2B; Operations,"Single source of truth for your clinic's finances and supply chain. Founded in 2022 by Sachin Jaishankar and Nish Singaraju, Unstatiq has 2 employees based in San Francisco, CA, USA.",https://www.unstatiq.com,2022,"San Francisco, CA, USA",Sachin Jaishankar; Nish Singaraju,https://www.linkedin.com/in/sachinjaishankar; https://www.linkedin.com/in/nish-singaraju-9472ba175/,; https://twitter.com/NishSingaraju
Resend,https://www.ycombinator.com/companies/resend,Winter 2023,"B2B; Engineering, Product and Design","Email for developers. Founded in 2023 by Bu Kinoshita and Zeno Rocha, Resend has 23 employees based in .",https://resend.com,2023,,Zeno Rocha; Bu Kinoshita,https://www.linkedin.com/in/zenorocha/; https://linkedin.com/in/bkinoshita,https://x.com/zenorocha; https://twitter.com/bukinoshita
Decohere,https://www.ycombinator.com/companies/decohere,Winter 2023,Consumer; Content,"Real-time generative AI. Founded in 2022 by Rishi Bhuta and Will Stith, Decohere has 4 employees based in Seattle, WA, USA.",https://decohere.ai,2022,"Seattle, WA, USA",Rishi Bhuta; Will Stith,https://www.linkedin.com/in/rishibhuta/; https://www.linkedin.com/in/williamstith/,https://twitter.com/rbhuta95; https://twitter.com/TheStithLord
Constant,https://www.ycombinator.com/companies/constant,Winter 2023,Fintech; Asset Management,"AI Analysts for the Buy-Side. Founded in 2023 by Ben Sender, Constant has 2 employees based in . Constant is hiring for 1 roles in engineering.",https://useconstant.com,2023,,Ben Sender,https://www.linkedin.com/in/ben-sender-272813a4,
Common Paper,https://www.ycombinator.com/companies/common-paper,Winter 2023,B2B; Sales,"The SAFE for commercial contracts. Founded in 2020 by Benjamin Garvey and Jake Stein, Common Paper has 8 employees based in Philadelphia, PA, USA.",https://commonpaper.com,2020,"Philadelphia, PA, USA",Benjamin Garvey; Jake Stein,https://www.linkedin.com/in/bengarvey/; https://www.linkedin.com/in/jakestein/,https://twitter.com/bengarvey; https://twitter.com/jakestein
Dill,https://www.ycombinator.com/companies/dill,Winter 2023,B2B; Finance and Accounting,"Dill helps construction suppliers automate accounts receivable,…. Founded in 2022 by Catherine Jiang, Dill has  employees based in .",https://usedill.com,2022,,Catherine Jiang,https://linkedin.com/in/catherinehuijiang,
Hindsight,https://www.ycombinator.com/companies/hindsight,Winter 2023,B2B; Sales,"Deal Intelligence and Sales Coaching Platform. Founded in 2023 by Ani Gottiparthy, Hindsight has 3 employees based in New York, NY, USA. Hindsight is hiring for 1 roles in marketing.",https://www.usehindsight.com,2023,"New York, NY, USA",Ani Gottiparthy,https://www.linkedin.com/in/ani-gottiparthy/,
Littio,https://www.ycombinator.com/companies/littio,Winter 2023,Fintech; Consumer Finance,"Dollar banking for people in Latin America. Founded in 2021 by Luis Huertas, Christian Knudsen, and Ivan Torroledo, Littio has 37 employees based in Bogotá, Bogota, Colombia.",https://www.littio.co,2021,"Bogotá, Bogota, Colombia",Christian Knudsen; Luis Huertas; Ivan Torroledo,https://www.linkedin.com/in/christian-knudsen-daccach-51915397/; https://www.linkedin.com/in/luiseduardohuertas/; https://www.linkedin.com/in/ivantorroledo/,; https://twitter.com/lehuertas; https://twitter.com/ivantorroledo
Thread,https://www.ycombinator.com/companies/thread-2,Winter 2023,B2B,"Lifeline for your business. Founded in 2023 by Akeem Williams, Thread has 2 employees based in Chattanooga, TN, USA.",https://www.usethread.io,2023,"Chattanooga, TN, USA",Akeem Williams,https://www.linkedin.com/in/akeem-williams-aa88b5140/,
Waza,https://www.ycombinator.com/companies/waza,Winter 2023,Fintech; Payments,"B2B payments platform for emerging markets. Founded in 2022 by Emmanuel Igbodudu and Maxwell Obi, Waza has 28 employees based in Lagos, Nigeria.",https://waza.co,2022,"Lagos, Nigeria",Maxwell Obi; Emmanuel Igbodudu,https://www.linkedin.com/in/maxwellobi/; https://www.linkedin.com/in/emmanuel-igbodudu/,; 
Rivet,https://www.ycombinator.com/companies/rivet,Winter 2023,B2B; Infrastructure,"Open-Source alternative to Durable Objects. Founded in 2022 by Nathaniel Flurry and Nicholas Kissel, Rivet has 5 employees based in San Francisco, CA, USA.",https://rivet.dev,2022,"San Francisco, CA, USA",Nicholas Kissel; Nathaniel Flurry; The Team,https://www.linkedin.com/in/nicholaskissel/; https://www.linkedin.com/in/nathanflurry/; https://www.linkedin.com/in/nathanflurry/,https://twitter.com/nicholaskissel; https://twitter.com/NathanFlurry; 
Tagsafe:,https://www.ycombinator.com/companies/tagsafe,Winter 2023,"B2B; Engineering, Product and Design",". Founded in  by Zachary Zimbler, Tagsafe has  employees based in Los Angeles, CA, USA.",http://www.tagsafe.io,,"Los Angeles, CA, USA",,,
Invopop,https://www.ycombinator.com/companies/invopop,Winter 2023,B2B; Finance and Accounting,"We help global software companies comply with local tax reporting . Founded in 2021 by Sam Lown and Juan Moliner Malaxechevarría, Invopop has 7 employees based in Madrid, Spain. Invopop is hiring for 4 roles in engineering and operations.",https://www.invopop.com,2021,"Madrid, Spain",Juan Moliner Malaxechevarría; Sam Lown,https://www.linkedin.com/in/juan-moliner/; https://www.linkedin.com/in/samlown/,; https://twitter.com/samlown
Corgi Labs,https://www.ycombinator.com/companies/corgi-labs,Winter 2023,Fintech; Payments,"AI to increase payment acceptance and reduce fraud for businesses. Founded in 2022 by Saif Farooqui, Corgi Labs has 3 employees based in San Francisco, CA, USA.",https://www.corgilabs.ai,2022,"San Francisco, CA, USA",Saif Farooqui,https://www.linkedin.com/in/sfarooqui1/,
Stralis Aircraft,https://www.ycombinator.com/companies/stralis-aircraft,Winter 2023,Industrials; Aviation and Space,"Emission free hydrogen electric aircraft. Founded in 2021 by Bob Criner and Stuart Johnstone, Stralis Aircraft has 4 employees based in Brisbane QLD, Australia.",https://stralis.aero,2021,"Brisbane QLD, Australia",Bob Criner; Stuart Johnstone; Our Backstory,https://www.linkedin.com/in/bobcriner/; https://www.linkedin.com/in/stuartjohnstone1/; https://www.linkedin.com/in/bobcriner/,; ; 
Helios,https://www.ycombinator.com/companies/helios,Winter 2023,B2B,"Create your AI workforce. Founded in 2022 by Eric Yáñez, Helios has 3 employees based in Mexico City, CDMX, Mexico.",https://www.usehelios.ai,2022,"Mexico City, CDMX, Mexico",Eric Yáñez,https://www.linkedin.com/in/ericyanezl/,https://twitter.com/ericyanez_
Epsilon,https://www.ycombinator.com/companies/epsilon,Winter 2023,Education,"AI Search Engine for Academic Research. Founded in 2022 by Viraj Rai, Epsilon has 2 employees based in New York, NY, USA.",https://www.epsilon-ai.com,2022,"New York, NY, USA",,,
Clad,https://www.ycombinator.com/companies/clad,Winter 2023,Real Estate and Construction; Construction,"Project management software for infrastructure. Founded in 2022 by Jason Rudin, Clad has 6 employees based in New York, NY, USA. Clad is hiring for 1 roles in engineering.",https://withclad.com,2022,"New York, NY, USA",Jason Rudin,https://www.linkedin.com/in/jasonrudin/,https://twitter.com/jasonrudin
Pylon,https://www.ycombinator.com/companies/pylon-2,Winter 2023,B2B; Operations,"The only customer support platform built for B2B. Founded in 2022 by Advith Chelikani, Robert Eng, and Marty Kausas, Pylon has 90 employees based in San Francisco, CA, USA. Pylon is hiring for 27 roles in operations, sales, recruiting & hr, design, support, engineering, and product.",https://usepylon.com,2022,"San Francisco, CA, USA",Advith Chelikani; Marty Kausas; Robert Eng,https://www.linkedin.com/in/advith/; https://www.linkedin.com/in/martykausas; https://www.linkedin.com/in/robert-eng/,; https://x.com/marty_kausas; 
Peeba,https://www.ycombinator.com/companies/peeba,Winter 2023,B2B,"Risk-free wholesale for retailers across Southeast Asia. Founded in 2020 by Jacky Lai, Peeba has 30 employees based in Jakarta, Indonesia.",http://peeba.com,2020,"Jakarta, Indonesia",Jacky Lai,http://www.linkedin.com/in/jackylaihk,
Diffuse Bio,https://www.ycombinator.com/companies/diffuse-bio,Winter 2023,Healthcare; Drug Discovery and Delivery,"Generative AI for protein design. Founded in 2022 by Namrata Anand, Diffuse Bio has 10 employees based in San Carlos, CA, USA. Diffuse Bio is hiring for 2 roles in engineering.",http://diffuse.bio,2022,"San Carlos, CA, USA",Namrata Anand,https://www.linkedin.com/in/namrata-a-427807188/,
inBuild,https://www.ycombinator.com/companies/inbuild,Winter 2023,B2B,"Workflow Automation for Construction Finance . Founded in 2021 by Ty Sharp and Ian Sharp, inBuild has 12 employees based in Wilmington, DE, USA. inBuild is hiring for 1 roles in engineering.",https://www.inbuild.ai,2021,"Wilmington, DE, USA",Ty Sharp; Ian Sharp,https://www.linkedin.com/in/ty-sharp-59b907123/; https://www.linkedin.com/in/ianwsharp/,https://twitter.com/TySharp_iB; https://twitter.com/iansharp_iB
