Name,YC Page,Batch,Industry,Description,Website,Founding Year,Headquarters,Founders,Founders_LinkedIn,Founders_Twitter
Claybird,https://www.ycombinator.com/companies/claybird,Fall 2025,B2B; Marketing,"The full-stack AI ad company. Founded in 2025 by Saad Jamal and Abdullah Nauman, Claybird has 4 employees based in San Francisco, CA, USA.",https://claybird.com,2025,"San Francisco, CA, USA",Saad Jamal; Abdullah Nauman,https://www.linkedin.com/in/sadjamz/; https://www.linkedin.com/in/abdullahnauman,https://x.com/sadjamz_; https://x.com/_AbdullahNauman
Velvet,https://www.ycombinator.com/companies/velvet,Fall 2025,B2B,"Helping AI pass the audiovisual Turing test. Founded in 2025 by Lucas Mantovani and Lucas Tucker, Velvet has 3 employees based in . Velvet is hiring for 3 roles in engineering and operations.",https://velvet-videos.com,2025,,Lucas Mantovani; Lucas Tucker,https://www.linkedin.com/in/lucas-mantovani-a446a61a9; https://www.linkedin.com/in/lucas-tucker-21b278175,https://x.com/lrmantovani_; 
DiligenceSquared,https://www.ycombinator.com/companies/diligencesquared-inc,Fall 2025,B2B; Analytics,"AI-powered market due diligence for investment decisions. Founded in 2025 by Soren Biltoft-Knudsen and Frederik Hansen, DiligenceSquared has 3 employees based in San Francisco, CA, USA. DiligenceSquared is hiring for 4 roles in operations and engineering.",https://diligencesquared.com,2025,"San Francisco, CA, USA",Frederik Hansen; Soren Biltoft-Knudsen,https://www.linkedin.com/in/frederik-kofoed-hansen/; https://www.linkedin.com/in/s%C3%B8ren-biltoft-knudsen-58010932/,; 
Forge Robotics,https://www.ycombinator.com/companies/forge-robotics,Fall 2025,Industrials; Manufacturing and Robotics,"A robotics intelligence system for metal fabrication. Founded in 2025 by Robert Cormican, Forge Robotics has 1 employees based in San Francisco, CA, USA.",https://forge-robotics.com,2025,"San Francisco, CA, USA",Robert Cormican; 🏭 The Problem,https://www.linkedin.com/in/robert-cormican-a4405990/; https://www.linkedin.com/in/eoincobbe,; 
Bluma,https://www.ycombinator.com/companies/bluma,Fall 2025,B2B; Marketing,"Canva for short-form video ads. Founded in 2025 by Stephen Ni and Alisa Wu, Bluma has 2 employees based in San Francisco, CA, USA.",https://www.getbluma.com,2025,"San Francisco, CA, USA",Alisa Wu; Stephen Ni,https://www.linkedin.com/in/wu-alisa/; https://www.linkedin.com/in/stephen-ni/,https://x.com/_alisawu/; https://x.com/stephen_turtles
The Hog,https://www.ycombinator.com/companies/the-hog,Fall 2025,B2B; Marketing,"AI Demand Gen for Companies. Founded in 2025 by Hudson Liao and Paulo Nascimento, The Hog has 2 employees based in . The Hog is hiring for 1 roles in engineering.",https://thehog.ai,2025,,Hudson Liao; Paulo Nascimento,https://www.linkedin.com/in/hudsonliao/; https://linkedin.com/in/paulonasc,https://x.com/hudsonliao; https://x.com/paulodoestech
Telemetron,https://www.ycombinator.com/companies/telemetron-ai,Fall 2025,B2B,"Support and Operations Platform for Hardware Companies. Founded in 2025 by Shivani Patel, Telemetron has 2 employees based in . Telemetron is hiring for 1 roles in engineering.",https://www.telemetron.ai,2025,,Shivani Patel,https://www.linkedin.com/in/shivanijpatel/,https://x.com/shivanijpatel
Boom AI,https://www.ycombinator.com/companies/boom-ai,Fall 2025,B2B,"AI growth team for e-commerce brands. Founded in 2025 by Juan Casian, Sergio Garcia, and Jose Toscano, Boom AI has 3 employees based in San Francisco, CA, USA.",https://useboom.ai,2025,"San Francisco, CA, USA",Juan Casian; Sergio Garcia; Jose Toscano,https://www.linkedin.com/in/juancasian/; https://www.linkedin.com/in/sergiogarciaglz/; https://www.linkedin.com/in/josecarlostoscano/,; ; 
Freeport Markets,https://www.ycombinator.com/companies/freeport-markets,Fall 2025,Fintech; Consumer Finance,"Tradable Twitter Feed . Founded in 2025 by Bryan Reed and Lihong Wang, Freeport Markets has 3 employees based in New York, NY, USA.",https://www.freeportmarkets.com,2025,"New York, NY, USA",Lihong Wang; Bryan Reed,https://www.linkedin.com/in/lihong062/; https://www.linkedin.com/in/bryan1738/,https://x.com/Lihong062; 
Miniswap,https://www.ycombinator.com/companies/miniswap,Fall 2025,Consumer; Gaming,"The Marketplace for Complex Hobbies. Founded in 2025 by Will Hanna and Zak Singh, Miniswap has 2 employees based in San Francisco, CA, USA.",https://miniswap.gg,2025,"San Francisco, CA, USA",Zak Singh; Will Hanna; Hi!,https://www.linkedin.com/in/zak-singh/; https://www.linkedin.com/in/will-h-48a38bbb/; https://www.linkedin.com/in/zak-singh,; ; 
Rovi Health,https://www.ycombinator.com/companies/rovi-health,Fall 2025,Healthcare,"AI healthcare concierge for employees. Founded in 2025 by Santosh Vallabhaneni and Tarun Vallabhaneni, Rovi Health has 3 employees based in New York, NY, USA. Rovi Health is hiring for 1 roles in engineering.",https://www.rovi.health,2025,"New York, NY, USA",Santosh Vallabhaneni; Tarun Vallabhaneni,https://www.linkedin.com/in/santoshvallabhaneni/; https://www.linkedin.com/in/tvallabh/,; 
Castari,https://www.ycombinator.com/companies/castari,Fall 2025,B2B; Infrastructure,"Vercel for AI Agents – One click deploy for the Claude Agent SDK. Founded in 2025 by Cambree Bernkopf and Jacob Wright, Castari has 3 employees based in . Castari is hiring for 1 roles in engineering.",https://castari.com,2025,,Jacob Wright; Cambree Bernkopf,https://linkedin.com/in/jacob-c-wright; https://www.linkedin.com/in/cambree-bernkopf-3385b0250,https://x.com/jehovahscript; https://x.com/cambreedesigns
Jarmin,https://www.ycombinator.com/companies/jarmin,Fall 2025,B2B,"24/7 Machine Learning Engineer employees. Founded in 2025 by Chalmers Brown, Shirsendu Halder, and Zack Leman, Jarmin has  employees based in San Francisco, CA, USA.",https://jarmin.ai,2025,"San Francisco, CA, USA",Chalmers Brown; Shirsendu Halder; Zack Leman,https://linkedin.com/in/chalmersbrown; https://www.linkedin.com/in/shirsenduhalder/; https://www.linkedin.com/in/zackleman/,https://x.com/chalmers_brown; https://x.com/shirsenh; https://x.com/zackeryleman
Exonic,https://www.ycombinator.com/companies/exonic,Fall 2025,Healthcare; Drug Discovery and Delivery,"Unsupervised Biological AI. Founded in 2025 by Ben Brimacombe, Exonic has 3 employees based in San Francisco, CA, USA.",https://exonic.ai,2025,"San Francisco, CA, USA",Ben Brimacombe; Hey YC!; Chief Scientific Officer,https://www.linkedin.com/in/benjamin-brimacombe/; https://www.linkedin.com/in/benjamin-brimacombe/; https://www.linkedin.com/in/mikhail-kulak/,https://x.com/thebrimacombe; ; 
Lemma,https://www.ycombinator.com/companies/uselemma,Fall 2025,"B2B; Engineering, Product and Design","Continuous learning for AI agents. Founded in 2025 by Cole Gawin and Jerry Zhang, Lemma has 2 employees based in San Francisco, CA, USA.",https://www.uselemma.ai,2025,"San Francisco, CA, USA",Jerry Zhang; Cole Gawin; The Problem:,https://www.linkedin.com/in/jerry-n-zhang/; https://www.linkedin.com/in/colegawin; https://www.linkedin.com/in/jerry-n-zhang/,https://x.com/zjearbear; https://x.com/colegawin_; 
Mantle,https://www.ycombinator.com/companies/mantle,Fall 2025,B2B; Operations,"Build internal agents to automate back office work with one prompt. Founded in 2025 by Samrath Chadha and Gautam Paranjape, Mantle has 2 employees based in .",https://www.mantle.work,2025,,Samrath Chadha; Gautam Paranjape,https://linkedin.com/in/samrathchadha; https://www.linkedin.com/in/gparanjape/,https://x.com/samrathchadha; https://x.com/gautamparanjape
Icarus,https://www.ycombinator.com/companies/icarus,Fall 2025,Industrials; Defense,"Stratospheric birds for defense. Founded in 2023 by Henry Kwan, Icarus has 16 employees based in Los Angeles, CA, USA. Icarus is hiring for 8 roles in engineering.",https://www.icarus.one,2023,"Los Angeles, CA, USA",Henry Kwan,https://linkedin.com/in/kwan-henry,https://x.com/kingofstrato
Sava,https://www.ycombinator.com/companies/savahq,Fall 2025,Fintech,"Building the future of trusts. Founded in 2025 by Nimit Maru and Rush Sadiwala, Sava has 3 employees based in . Sava is hiring for 1 roles in engineering.",https://www.savahq.com,2025,,Nimit Maru; Rush Sadiwala,https://www.linkedin.com/in/nimit/; https://www.linkedin.com/in/rushabh-sadiwala/,http://x.com/nimit; https://x.com/updating_priors
Denki,https://www.ycombinator.com/companies/denki,Fall 2025,B2B; Finance and Accounting,"The full-stack AI financial audit firm. Founded in 2025 by Felipe Jin Li and David Jin Li, Denki has 2 employees based in San Francisco, CA, USA.",https://denki.ai,2025,"San Francisco, CA, USA",Felipe Jin Li; David Jin Li,https://www.linkedin.com/in/felipe-jin-li-a42380132/; https://www.linkedin.com/in/david-jin-li/,; 
Arcten,https://www.ycombinator.com/companies/arcten,Fall 2025,"B2B; Engineering, Product and Design","Building the best coding agents. Founded in 2025 by Michael Nguyen Jr and Armeet Singh Jatyani, Arcten has 2 employees based in San Francisco, CA, USA.",https://arcten.com,2025,"San Francisco, CA, USA",Armeet Singh Jatyani; Michael Nguyen Jr; Team,https://linkedin.com/in/armeetjatyani; https://www.linkedin.com/in/michael-nguyen-jr-02a576354/; https://www.linkedin.com/in/michael-nguyen-jr-02a576354/,https://x.com/armeetjatyani; https://x.com/michanjr; 
Metorial,https://www.ycombinator.com/companies/metorial,Fall 2025,B2B,"The infra layer for AI integrations. Founded in 2025 by Tobias Herber and Karim (Wen) Rahme, Metorial has 4 employees based in . Metorial is hiring for 3 roles in engineering.",https://metorial.com,2025,,Karim (Wen) Rahme; Tobias Herber,https://www.linkedin.com/in/karim-rahme; https://www.linkedin.com/in/tobias-herber/,https://x.com/wen_rahme; https://x.com/tobiasherber_
Kalpa Labs,https://www.ycombinator.com/companies/kalpa-labs,Fall 2025,B2B,"Scaling Generalist Speech models. Founded in 2025 by Gautam Jha and Prashant Shishodia, Kalpa Labs has 2 employees based in . Kalpa Labs is hiring for 1 roles in engineering.",https://kalpalabs.ai,2025,,Prashant Shishodia; Gautam Jha; Problem,https://linkedin.com/in/pshishodia; https://www.linkedin.com/in/gautam-jha37/; https://www.linkedin.com/in/pshishodia/,https://x.com/pshishodiaa; https://x.com/JhaGauti; https://x.com/pshishodiaa
Absurd,https://www.ycombinator.com/companies/absurd,Fall 2025,B2B; Marketing,"AI Videos. Founded in 2025 by Damian Chng, Philip Ho, and Daniel Kathein, Absurd has 6 employees based in .",https://absurd.com,2025,,Philip Ho; Damian Chng; Daniel Kathein,https://www.linkedin.com/in/philiptho/; https://www.linkedin.com/in/damian-chng; https://www.linkedin.com/in/daniel-kathein/,https://x.com/dopadealer; ; https://x.com/daniel_kathein
Primer,https://www.ycombinator.com/companies/primer,Fall 2025,B2B,"AI Product Demos. Founded in 2025 by Chris Farestveit, Primer has 2 employees based in San Francisco, CA, USA.",https://www.startprimer.com,2025,"San Francisco, CA, USA",Chris Farestveit; The Problem,https://www.linkedin.com/in/green-c/; https://www.linkedin.com/in/green-c/,; 
Narrative,https://www.ycombinator.com/companies/usenarrative,Fall 2025,B2B; Marketing,"AI-Powered Sports Highlights. Founded in 2025 by Victor Chapman, Aryan Sawhney, and Erik Vank, Narrative has 3 employees based in San Francisco, CA, USA.",http://www.narrative-sports.com,2025,"San Francisco, CA, USA",Erik Vank; Victor Chapman; Aryan Sawhney,https://www.linkedin.com/in/erik-vank; https://www.linkedin.com/in/victor-chapman-9175b2260/; https://www.linkedin.com/in/aryan-sawhney-a852b1229/,; ; https://x.com/aryansawhney17/
Lua Global Inc,https://www.ycombinator.com/companies/lua-global-inc,Fall 2025,B2B,"The mid-market agent platform. Founded in 2025 by Stefan Kruger and Lorcan O Cathain, Lua Global Inc has 5 employees based in .",https://heylua.ai,2025,,Lorcan O Cathain; Stefan Kruger,https://www.linkedin.com/in/lorcan-o-cathain/; https://www.linkedin.com/in/stefan-kruger-0957b168/,; 
Philon,https://www.ycombinator.com/companies/philon,Fall 2025,B2B,"General Purpose Robots. Founded in 2025 by Alexandros Petkos, Philon has  employees based in Palo Alto, CA, USA.",https://philon.ai,2025,"Palo Alto, CA, USA",Alexandros Petkos,https://www.linkedin.com/in/alexandros-petkos/,https://x.com/alex_petkos
Zalos,https://www.ycombinator.com/companies/zalos,Fall 2025,B2B; Operations,"Computer Agents for Finance tasks like reconciliation, in your system!. Founded in 2025 by William Fairbairn and Hung Hoang, Zalos has 2 employees based in . Zalos is hiring for 1 roles in engineering.",https://www.zalos.ai,2025,,William Fairbairn; Hung Hoang,https://www.linkedin.com/in/willfairbairn/; https://www.linkedin.com/in/hxuanhung/,; 
Scott AI,https://www.ycombinator.com/companies/scott-ai,Fall 2025,B2B,"The planning layer for teams that build with coding agents. Founded in 2025 by Devin Cintron and David Maulick, Scott AI has 3 employees based in . Scott AI is hiring for 2 roles in engineering.",https://tryscott.ai,2025,,David Maulick; Devin Cintron; ❌ The Problem,https://www.linkedin.com/in/davidemaulick/; https://www.linkedin.com/in/devin-cintron; https://www.linkedin.com/in/davidemaulick/,https://x.com/davidmaulick; https://x.com/devin_bc; https://x.com/scott_ai%5C
Everest,https://www.ycombinator.com/companies/everest,Fall 2025,Consumer,"Netflix for AI films and series . Founded in 2026 by Yolanda Cao and Spencer McKee, Everest has  employees based in San Francisco, CA, USA. Everest is hiring for 1 roles in design.",https://everestagi.com,2026,"San Francisco, CA, USA",Yolanda Cao; Spencer McKee,https://www.linkedin.com/in/yolandacao1; https://www.linkedin.com/in/spencer-mckee,https://x.com/yolandaaacao; https://x.com/spenmcke
Expected Parrot,https://www.ycombinator.com/companies/expected-parrot,Fall 2025,B2B,"Simulate your customers with AI agents. Founded in 2024 by John Horton and Robin Horton, Expected Parrot has 5 employees based in Cambridge, MA, USA.",https://www.expectedparrot.com,2024,"Cambridge, MA, USA",Robin Horton; John Horton; TLDR:,https://linkedin.com/in/robertahorton; https://www.linkedin.com/in/john-horton-48a75819/; https://www.linkedin.com/in/robertahorton/,https://x.com/ExpectedParrot; https://x.com/johnjhorton; 
Imagine AI,https://www.ycombinator.com/companies/imagine-ai,Fall 2025,B2B; Sales,"We build B2B content for your entire team. Founded in 2025 by Neo Lee and Sky Yang, Imagine AI has 5 employees based in . Imagine AI is hiring for 1 roles in engineering.",https://imagineai.me,2025,,Sky Yang; Neo Lee; Hey YC.,https://www.linkedin.com/in/skyyang/; https://www.linkedin.com/in/neo-lky; https://linkedin.com/in/skyyang**,https://x.com/skygodkingdom; https://x.com/neo_lky; 
Anto Biosciences,https://www.ycombinator.com/companies/anto-biosciences,Fall 2025,Healthcare,"A Foundation Model for Microbial Communities. Founded in 2025 by David Alexander de Gruijl and Arvid E. Gollwitzer, Anto Biosciences has 2 employees based in San Francisco, CA, USA.",https://www.anto.bio,2025,"San Francisco, CA, USA",Arvid E. Gollwitzer; Founder; The Key Problem,https://www.linkedin.com/in/arvid-gollwitzer/; https://linkedin.com/in/daviddegruijl; https://www.linkedin.com/in/arvid-gollwitzer/,https://x.com/arvidgollwitzer; ; 
Patent Watch,https://www.ycombinator.com/companies/patent-watch,Fall 2025,B2B,"AI for detecting patent infringements. Founded in 2025 by Alexander Stroe and Andreas Stroe, Patent Watch has 4 employees based in Toronto, ON, Canada.",https://www.patentwatch.ai,2025,"Toronto, ON, Canada",Alexander Stroe; Andreas Stroe; Patent Watch Launch Video,https://www.linkedin.com/in/alex-stroe/; https://www.linkedin.com/in/andreasstroe/; https://www.linkedin.com/in/andreasstroe,; ; 
s2.dev,https://www.ycombinator.com/companies/s2-dev,Fall 2025,B2B; Infrastructure,"API for unlimited, durable, real-time streams. Founded in 2024 by Stephen Balogh, Shikhar Bhushan, and Dwarak Govind Parthiban, s2.dev has 5 employees based in San Francisco, CA, USA.",https://s2.dev,2024,"San Francisco, CA, USA",Shikhar Bhushan; Stephen Balogh; Dwarak Govind Parthiban; Company Launches,https://linkedin.com/in/shikhrr; https://www.linkedin.com/in/stephen-balogh-078a4995/; https://www.linkedin.com/in/dwarakgovindparthiban/; https://www.linkedin.com/in/shikhrr/,https://x.com/shikhrr; https://x.com/sgbalogh0; https://x.com/quettabitxyz; https://x.com/s2_streamstore
Tornyol,https://www.ycombinator.com/companies/tornyol,Fall 2025,Consumer; Consumer Electronics,"We build micro-drones that kill mosquitoes. . Founded in  by Clovis Piedallu and Alex Toussaint, Tornyol has 5 employees based in Paris, France.",https://tornyol.com,,"Paris, France",Alex Toussaint; Clovis Piedallu; Hey YC!,https://www.linkedin.com/in/alex-toussaint-51a439189/; https://www.linkedin.com/in/clovispiedallu/; https://www.linkedin.com/in/clovispiedallu/,https://x.com/alextoussss; https://x.com/ClovisPiedallu; https://x.com/alextoussss/status/1778460625196261863
Nucleo,https://www.ycombinator.com/companies/nucleo,Fall 2025,Healthcare,"The first Agentic platform for Oncology. Founded in 2025 by Angelica Iacovelli and Luca Pegolotti, Nucleo has 2 employees based in . Nucleo is hiring for 1 roles in operations.",https://nucleoresearch.com,2025,,Angelica Iacovelli; Luca Pegolotti; Nucleo,https://www.linkedin.com/in/angelica-iacovelli-490a8a1a7/; https://www.linkedin.com/in/luca-pegolotti/; https://www.linkedin.com/in/angelica-iacovelli-490a8a1a7/,https://x.com/AngelicaIAC; ; 
Leadbay,https://www.ycombinator.com/companies/leadbay,Fall 2025,B2B; Sales,"Discover and qualify SMB leads that couldn't be found before. Founded in  by Ludovic Granger and Milan Stankovic, Leadbay has 8 employees based in San Francisco, CA, USA. Leadbay is hiring for 4 roles in engineering and sales.",https://leadbay.ai,,"San Francisco, CA, USA",Ludovic Granger; Milan Stankovic; HOW DOES IT WORK?,https://linkedin.com/in/ludovic-granger; https://linkedin.com/in/milanstankovic; https://www.linkedin.com/in/ludovic-granger/,https://x.com/ludogranger; https://x.com/milstan; 
Cortex AI,https://www.ycombinator.com/companies/cortex-ai,Fall 2025,Industrials; Manufacturing and Robotics,"Large-scale real-world robot & human data for embodied AI. Founded in 2025 by Lucas Ngoo, Cortex AI has 3 employees based in San Francisco, CA, USA.",https://cortexrobot.ai,2025,"San Francisco, CA, USA",Lucas Ngoo,https://www.linkedin.com/in/lucasngoo,https://x.com/lucasngoo
Inspector,https://www.ycombinator.com/companies/inspector,Fall 2025,"B2B; Engineering, Product and Design","AI IDE for front-end development. Founded in 2025 by Michael Klikushin and Quentin Romero Lauro, Inspector has 2 employees based in San Francisco, CA, USA.",https://www.tryinspector.com,2025,"San Francisco, CA, USA",Quentin Romero Lauro; Michael Klikushin,https://linkedin.com/in/quentinrl/; https://www.linkedin.com/in/mklikushin,https://x.com/QRomeroLauro; https://x.com/mkliku
Thesis,https://www.ycombinator.com/companies/thesis,Fall 2025,B2B,"Accelerating AI research. Founded in 2025 by Sergio Charles and Luigi Charles, Thesis has 2 employees based in San Francisco, CA, USA.",https://thesislabs.ai,2025,"San Francisco, CA, USA",Sergio Charles; Luigi Charles,https://www.linkedin.com/in/sergio-charles-5a8052134/; https://www.linkedin.com/in/luigicharles,; 
Play Health,https://www.ycombinator.com/companies/play-health,Fall 2025,Healthcare,"Perimenopause Care Platform. Founded in 2025 by Andrea Mazzocchi and Ian Miller, Play Health has 4 employees based in Boulder, CO, USA.",http://playhealth.com,2025,"Boulder, CO, USA",Andrea Mazzocchi; Ian Miller,; ,; 
Casey,https://www.ycombinator.com/companies/casey,Fall 2025,Fintech; Insurance,"Casey is an AI-native commercial insurance brokerage. Founded in 2025 by Nico Hänggi, Pascal Küng, and Maximilian Thoelen, Casey has 3 employees based in .",https://www.meetcasey.ai,2025,,Maximilian Thoelen; Nico Hänggi; Pascal Küng; Our Story,https://www.linkedin.com/in/maximilian-thoelen/; https://www.linkedin.com/in/nicohaenggi/; https://www.linkedin.com/in/pascalkueng/; https://www.linkedin.com/in/maximilian-thoelen/,https://x.com/MaxThoelen; ; ; 
Selfin,https://www.ycombinator.com/companies/selfin,Fall 2025,Fintech; Consumer Finance,"Building the first AI Bank. Founded in 2025 by Paula Gutierrez and Joel Tomas Pimentel, Selfin has 2 employees based in San Francisco, CA, USA.",https://selfin.app,2025,"San Francisco, CA, USA",Paula Gutierrez; Joel Tomas Pimentel; Our Ask 💬,https://www.linkedin.com/in/paula-gutierrez-/; https://www.linkedin.com/in/joel-tomas-pimentel; https://www.linkedin.com/in/paula-gutierrez-/,; ; 
Compyle,https://www.ycombinator.com/companies/compyle,Fall 2025,"B2B; Engineering, Product and Design","The coding agent that actually collaborates with you. Founded in 2025 by Jonathan Miranda and Mark Nazzaro, Compyle has 2 employees based in San Francisco, CA, USA.",https://compyle.ai,2025,"San Francisco, CA, USA",Jonathan Miranda; Mark Nazzaro,https://www.linkedin.com/in/miranda-jonathan/; https://www.linkedin.com/in/marknazzaro/,https://x.com/jonathan_mir12; 
Codyco,https://www.ycombinator.com/companies/codyco,Fall 2025,B2B,"The AI Reservation Team for Hotel Groups. Founded in 2025 by Endrit Bytyqi, Stefan Schaff, and Alexander Schober, Codyco has 4 employees based in .",https://www.codyco.ai/en,2025,,Stefan Schaff; Endrit Bytyqi; Alexander Schober,https://www.linkedin.com/in/stefanschaff/; https://www.linkedin.com/in/endrit-bytyqi/; https://www.linkedin.com/in/alexander-schober/,; ; 
ComplyDo,https://www.ycombinator.com/companies/complydo,Fall 2025,B2B; Legal,"Global Compliance for Enterprises. Founded in 2025 by Moritz Moser, Matthias Schneider, and Leo Schuhmann, ComplyDo has 8 employees based in Berlin, Germany.",https://www.complydo.io,2025,"Berlin, Germany",Leo Schuhmann; Moritz Moser; Matthias Schneider; More Comply. Less Do.,https://www.linkedin.com/in/leo-schuhmann-324927182/; https://www.linkedin.com/in/moritz-moser-99b3a320a/; https://www.linkedin.com/in/matthias-schneider-134391223/; https://www.linkedin.com/in/leo-schuhmann-324927182/,; ; ; 
Rovr,https://www.ycombinator.com/companies/rovr,Fall 2025,"B2B; Engineering, Product and Design","AI FDE Engine that runs your engineering workflows. Founded in 2025 by Arnav Jain and Nithik Yekollu, Rovr has 3 employees based in San Francisco, CA, USA.",https://www.withrovr.com,2025,"San Francisco, CA, USA",Arnav Jain; Nithik Yekollu,https://www.linkedin.com/in/arnavjain053/; https://www.linkedin.com/in/nithik-yekollu-7298671a8/,; https://x.com/nithikyekollu?s=11&t=gdvWG-vL2wNJq4aZra4dVA
Sunflower,https://www.ycombinator.com/companies/sunflower,Fall 2025,Consumer,"Building the Sobriety Platform for the future of Superintelligence. 🌻. Founded in 2024 by Koby Conrad, Sunflower has 15 employees based in . Sunflower is hiring for 1 roles in marketing.",https://sunflowersober.com,2024,,Koby Conrad; Founded:,https://www.linkedin.com/in/kobyconrad/; https://www.linkedin.com/in/kobyconrad/,https://x.com/kobyjconrad; https://x.com/SunflowerSober
