Name,YC Page,Batch,Industry,Description,Website,Founding Year,Headquarters,Founders,Founders_LinkedIn,Founders_Twitter
vly.ai,https://www.ycombinator.com/companies/vly-ai-2,Fall 2024,"B2B; Engineering, Product and Design","The Lovable & Replit killers. Founded in 2024 by Victor Cheng, vly.ai has 3 employees based in San Francisco, CA, USA. vly.ai is hiring for 1 roles in marketing.",https://vly.ai,2024,"San Francisco, CA, USA",Victor Cheng; Our Solution,https://www.linkedin.com/in/victor-cheng-89a161180/; https://www.linkedin.com/in/victor-cheng-89a161180/,https://x.com/victorxheng; 
ISSEN,https://www.ycombinator.com/companies/issen,Fall 2024,Consumer,"AI realtime voice companion for language learning. Founded in 2024 by Mariano Sorgente, ISSEN has 1 employees based in New York, NY, USA.",https://issen.com,2024,"New York, NY, USA",Mariano Sorgente,https://www.linkedin.com/in/sorgente,https://twitter.com/sorgente711
Matcha,https://www.ycombinator.com/companies/astrix-health,Fall 2024,Healthcare,"The best way to hire clinical talent. Founded in 2024 by Thomas Blake and Abhinav Swaminathan, Matcha has 2 employees based in New York, NY, USA.",https://www.matcha-health.com,2024,"New York, NY, USA",Abhinav Swaminathan; Thomas Blake,https://www.linkedin.com/in/abuswami/; https://www.linkedin.com/in/thomas-blake-abbba0151/,; 
Cekura,https://www.ycombinator.com/companies/cekura-ai,Fall 2024,"B2B; Engineering, Product and Design","Voice AI and Chat AI agents: Testing and Observability. Founded in 2024 by Tarush Agarwal, Shashij Gupta, and Sidhant Kabra, Cekura has 15 employees based in San Francisco, CA, USA. Cekura is hiring for 2 roles in sales.",https://www.cekura.ai,2024,"San Francisco, CA, USA",Tarush Agarwal; Shashij Gupta; Sidhant Kabra; Solution:,https://www.linkedin.com/in/tarush-agarwal-b14851160/; https://linkedin.com/in/shashij-gupta-671aa614a; https://www.linkedin.com/in/sidhantkabra; https://www.linkedin.com/in/tarush-agarwal-b14851160/,https://x.com/tarush_agarwal_; https://x.com/Shashijgupta; https://x.com/kabra_sidhant; 
VortexifyAI,https://www.ycombinator.com/companies/vortexifyai,Fall 2024,B2B; Supply Chain and Logistics,"Build AI applications and automations for supply chain operations. Founded in 2024 by Aditya Tewari, VortexifyAI has 3 employees based in New York, NY, USA.",https://www.vortexify.ai,2024,"New York, NY, USA",Aditya Tewari,https://www.linkedin.com/in/adityatewari/,
Revyl,https://www.ycombinator.com/companies/revyl,Fall 2024,B2B; Infrastructure,"AI-Native Mobile Testing. Founded in 2024 by Landseer Enga and Anam Hira, Revyl has 7 employees based in San Francisco, CA, USA. Revyl is hiring for 1 roles in sales.",https://www.revyl.ai,2024,"San Francisco, CA, USA",Landseer Enga; Anam Hira; Problem:,https://linkedin.com/in/landseerenga; https://linkedin.com/in/anam-h-5b37a2125; https://linkedin.com/in/anam-h-5b37a2125,https://x.com/landseerenga; https://x.com/anamhira; 
Rulebase,https://www.ycombinator.com/companies/rulebase,Fall 2024,B2B; Operations,"AI agents for financial services. Founded in  by Gideon Ebose and Chidi Williams, Rulebase has 2 employees based in . Rulebase is hiring for 1 roles in engineering.",https://rulebase.co,,,Gideon Ebose; Chidi Williams,https://linkedin.com/in/gideon-ebose-2a5187100; https://www.linkedin.com/in/chidiwilliams/,https://x.com/gideon_eb; https://twitter.com/chidiwilliams__
HealthSpark,https://www.ycombinator.com/companies/healthspark,Fall 2024,Healthcare,"Empowering Physical Therapists to Go Independent. Founded in 2024 by Stephen Grinich, HealthSpark has 1 employees based in San Francisco, CA, USA.",https://www.joinhealthspark.com,2024,"San Francisco, CA, USA",Stephen Grinich,https://linkedin.com/in/stephengrinich,https://twitter.com/stephengrinich
Durate,https://www.ycombinator.com/companies/durate,Fall 2024,Healthcare; Healthcare IT,"Automated physician scheduling. Founded in 2024 by Benjamin Liu and Michael Mounajjed, Durate has 2 employees based in San Francisco, CA, USA.",https://www.durate.com,2024,"San Francisco, CA, USA",Michael Mounajjed; Benjamin Liu; The Solution:,https://linkedin.com/in/michael-mounajjed; https://www.linkedin.com/in/ben-franklin-liu/; https://www.linkedin.com/in/michael-mounajjed/,; ; 
Streamable,https://www.ycombinator.com/companies/streamable,Fall 2024,Consumer,"Enabling IRL streamers to do what they love. Founded in 2024 by Nang Ang and Manav Bokinala, Streamable has 4 employees based in San Francisco, CA, USA. Streamable is hiring for 3 roles in design and marketing.",https://streamable.run,2024,"San Francisco, CA, USA",Nang Ang; Manav Bokinala,https://linkedin.com/in/nathanang; https://www.linkedin.com/in/mbokinala/,https://x.com/not_nang; https://x.com/mbokinala_
Symphony,https://www.ycombinator.com/companies/symphony,Fall 2024,B2B,"Voice AI sims for next-gen employee training. Founded in 2024 by Murtaza Ali and Shobhit Srivastava, Symphony has 5 employees based in New York, NY, USA. Symphony is hiring for 1 roles in engineering.",https://getsymphony.co,2024,"New York, NY, USA",Murtaza Ali; Shobhit Srivastava,https://www.linkedin.com/in/-murtazaali/; https://linkedin.com/in/shobhit-srivastava,; 
telli,https://www.ycombinator.com/companies/telli,Fall 2024,B2B,"AI phone agents that convert. Founded in 2024 by Philipp Baumanns, Seb Hapte-Selassie, and Finn zur Muehlen, telli has 16 employees based in Berlin, Germany. telli is hiring for 7 roles in operations, engineering, and design.",https://telli.com,2024,"Berlin, Germany",Philipp Baumanns; Seb Hapte-Selassie; Problem,https://www.linkedin.com/in/philipp-b-a2986ab9/; https://www.linkedin.com/in/sebhs/; https://www.linkedin.com/in/sebhs/,; https://twitter.com/sebselassie; 
Galini,https://www.ycombinator.com/companies/galini,Fall 2024,B2B,"Compliance guardrails-as-a-service for AI applications. Founded in 2024 by Shaun Ayrton and Raul Zablah, Galini has 2 employees based in San Francisco, CA, USA.",https://www.galini.ai,2024,"San Francisco, CA, USA",Shaun Ayrton; Raul Zablah; ❌ The Problem:,https://www.linkedin.com/in/shaun-ayrton/; https://www.linkedin.com/in/raulzablah; http://www.linkedin.com/in/shaun-ayrton,; ; 
Clarus,https://www.ycombinator.com/companies/clarus,Fall 2024,"B2B; Engineering, Product and Design","LP clarity across private markets. Founded in 2025 by Oliver Wendell-Braly, Clarus has 2 employees based in New York, NY, USA.",https://www.clarus.finance,2025,"New York, NY, USA",Oliver Wendell-Braly,https://www.linkedin.com/in/oliverbraly/,
Gait,https://www.ycombinator.com/companies/gait,Fall 2024,B2B,"Building Dev Infra for AI Software Engineers. Founded in 2024 by , Gait has 2 employees based in San Francisco, CA, USA.",https://getgait.com,2024,"San Francisco, CA, USA",Alex Hsia; Kyle Li; The Problems,https://www.linkedin.com/in/ahsia/; https://www.linkedin.com/in/kyleli626/; https://www.linkedin.com/in/ahsia/,https://twitter.com/AlexYHsia; ; 
