Company,YC Page,Description,Industry,Company Website,Founders,founders_linkedin,founders_linkedin,founders_twitter,Founding Year,Headquarters
Magnetic,https://www.ycombinator.com/companies/magnetic,"AI Tax Preparer for CPA firms. Founded in 2024 by Patrick Fay and Thomas Shelley, Magnetic has 2 employees based in . Magnetic is hiring for 3 roles in operations and engineering.",B2B;PRODUCTIVITY,,Thomas Shelley;Patrick Fay,https://linkedin.com/in/thomasjshelley;https://linkedin.com/in/patrick-fay-5418a822,https://linkedin.com/in/thomasjshelley;https://linkedin.com/in/patrick-fay-5418a822,https://x.com/tsh3ll;,,
Gaus,https://www.ycombinator.com/companies/gaus,"AI advisor for retail investors. Founded in 2025 by Bruno Koba and Daniel Tulha Hochstetler, Gaus has 2 employees based in San Francisco, CA, USA.",FINTECH;CONSUMER FINANCE,,Bruno Koba;Daniel Tulha Hochstetler,https://www.linkedin.com/in/bruno-koba/;https://www.linkedin.com/in/daniel-hochstetler,https://www.linkedin.com/in/bruno-koba/;https://www.linkedin.com/in/daniel-hochstetler,https://x.com/brunokoba_;,,
Idler,https://www.ycombinator.com/companies/idler,"Scale AI for reinforcement learning environments. . Founded in 2025 by Ivan Chub, Nalu Concepcion, and Tony Goss, Idler has 3 employees based in San Francisco, CA, USA.","B2B;ENGINEERING, PRODUCT AND DESIGN",,Ivan Chub;Nalu Concepcion;Tony Goss,https://www.linkedin.com/in/ivanchub/;https://linkedin.com/in/nalu-concepcion/;https://www.linkedin.com/in/tony-goss-a53732132,https://www.linkedin.com/in/ivanchub/;https://linkedin.com/in/nalu-concepcion/;https://www.linkedin.com/in/tony-goss-a53732132,https://x.com/chubivan;https://x.com/naluconcepcion;https://x.com/cha0sg0d_,,
Modelence,https://www.ycombinator.com/companies/modelence,"All-in-one TypeScript cloud for production AI apps. Founded in 2025 by Eduard Piliposyan and Aram Shatakhtsyan, Modelence has 3 employees based in San Francisco, CA, USA.",B2B;INFRASTRUCTURE,,Aram Shatakhtsyan;Eduard Piliposyan,https://www.linkedin.com/in/artahian/;https://www.linkedin.com/in/eduard-piliposyan,https://www.linkedin.com/in/artahian/;https://www.linkedin.com/in/eduard-piliposyan,https://x.com/artahian;https://x.com/ed_piliposyan,,
Lanesurf,https://www.ycombinator.com/companies/lanesurf,"Voice AI for booking freight. Founded in 2025 by Pratham Bansal and Sarthak Singh Chauhan, Lanesurf has 4 employees based in San Francisco, CA, USA.",B2B,,Pratham Bansal;Sarthak Singh Chauhan,https://www.linkedin.com/in/bansalpratham/;https://www.linkedin.com/in/sarthak-singh-chauhan-a1942b209,https://www.linkedin.com/in/bansalpratham/;https://www.linkedin.com/in/sarthak-singh-chauhan-a1942b209,https://x.com/pratham__bansal;https://x.com/sarthakiitd,,
Blank Bio,https://www.ycombinator.com/companies/blank-bio,"RNA-based AI for better drugs and smarter clinical trials. Founded in 2025 by Philip Fradkin, Jonny Hsu, and Ian Shi, Blank Bio has 3 employees based in San Francisco, CA, USA. Blank Bio is hiring for 2 roles in engineering.",HEALTHCARE;THERAPEUTICS,,Jonny Hsu;Philip Fradkin;Ian Shi;Blank Bio - Computational toolkit for RNA therapeutics,https://www.linkedin.com/in/jonathanhsuuw/;https://www.linkedin.com/in/philip-fradkin-330a417b/;https://www.linkedin.com/in/ruian-shi-4b5215b9/;https://www.linkedin.com/in/jonathanhsuuw/,https://www.linkedin.com/in/jonathanhsuuw/;https://www.linkedin.com/in/philip-fradkin-330a417b/;https://www.linkedin.com/in/ruian-shi-4b5215b9/;https://www.linkedin.com/in/jonathanhsuuw/,https://x.com/hsu_jonny;https://twitter.com/phil_fradkin;https://x.com/ianshi3;https://x.com/blankbio_,,
truthsystems,https://www.ycombinator.com/companies/truthsystems,"Automatically blocking risky behavior with real-time governance agents. Founded in 2023 by Alex Mac and Nam Nguyen, truthsystems has 3 employees based in San Francisco, CA, USA. truthsystems is hiring for 1 roles in engineering.",B2B;INFRASTRUCTURE,,Alex Mac;Nam Nguyen,https://linkedin.com/in/anh-mac;https://www.linkedin.com/in/hoangnamm21/,https://linkedin.com/in/anh-mac;https://www.linkedin.com/in/hoangnamm21/,;,,
Veritus Agent,https://www.ycombinator.com/companies/veritus-agent,"We’re excited to introduce Veritus Agent, founded by Joshua March, Joey Stein, and David Schlesinger to help lenders improve conversion rates, decrease servicing costs, and increase recoveries by deploying voice agents across their operations.",FINTECH;CREDIT AND LENDING,,Joshua March;David Schlesinger;Joseph Stein;Veritus — AI voice agents for lenders from origination through collections,https://www.linkedin.com/in/joshuamarch/;https://www.linkedin.com/in/davidschles/;https://www.linkedin.com/in/josephstein1;https://www.linkedin.com/in/joshuamarch/,https://www.linkedin.com/in/joshuamarch/;https://www.linkedin.com/in/davidschles/;https://www.linkedin.com/in/josephstein1;https://www.linkedin.com/in/joshuamarch/,https://www.x.com/joshuamarch;;https://www.x.com/josephstein;,,
Alara,https://www.ycombinator.com/companies/alara,"Procurement Platform for Dental Offices. Founded in 2025 by Elyas Obbad, Dr. Sabrine Obbad, and Kamal Obbad, Alara has 0 employees based in .",B2B,,Dr. Sabrine Obbad;Elyas Obbad;Kamal Obbad,https://www.linkedin.com/in/sabrineobbad;https://www.linkedin.com/in/elyas-obbad-071a01176/;https://www.linkedin.com/in/kamal-obbad-b69852158/,https://www.linkedin.com/in/sabrineobbad;https://www.linkedin.com/in/elyas-obbad-071a01176/;https://www.linkedin.com/in/kamal-obbad-b69852158/,;https://x.com/ObbadElyas;,,
TectoAI,https://www.ycombinator.com/companies/tectoai,"Recruit and Monitor AI Employees. Founded in 2025 by Niosha Afsharikia, PhD and Roksana Baleshzar, TectoAI has 2 employees based in . TectoAI is hiring for 1 roles in engineering.",B2B,,"Niosha Afsharikia, PhD;Roksana Baleshzar;Tecto - Governance Platform for AI Employees 🤖",https://www.linkedin.com/in/afsharikia/;https://www.linkedin.com/in/roksana-baleshzar/;https://www.linkedin.com/in/afsharikia/,https://www.linkedin.com/in/afsharikia/;https://www.linkedin.com/in/roksana-baleshzar/;https://www.linkedin.com/in/afsharikia/,;;,,
Munify,https://www.ycombinator.com/companies/munify,"The Cross-Border Neobank for the Middle East. Founded in 2025 by Khalid Ashmawy, Munify has 4 employees based in .",FINTECH,,Khalid Ashmawy,https://www.linkedin.com/in/khalidashmawy/,https://www.linkedin.com/in/khalidashmawy/,,,
Palace,https://www.ycombinator.com/companies/palace,"Operational intelligence for PE funds and PE-backed companies. Founded in 2025 by Leeds Rising and Derek Ye, Palace has 2 employees based in New York, NY, USA.",FINTECH;ASSET MANAGEMENT,,Leeds Rising;Derek Ye,https://www.linkedin.com/in/leedsrising;https://www.linkedin.com/in/derek-ye-853412159/,https://www.linkedin.com/in/leedsrising;https://www.linkedin.com/in/derek-ye-853412159/,https://x.com/LeedsRising;,,
AgentMail,https://www.ycombinator.com/companies/agentmail,"API Inboxes for AI Agents. Founded in 2025 by Haakam Aujla, Michael Kim, and Adi Singh, AgentMail has 3 employees based in San Francisco, CA, USA.",B2B;INFRASTRUCTURE,,Haakam Aujla;Michael Kim;Adi Singh,https://www.linkedin.com/in/haaaujla/;https://www.linkedin.com/in/michaelhyunkim/;https://linkedin.com/in/adivirsingh13,https://www.linkedin.com/in/haaaujla/;https://www.linkedin.com/in/michaelhyunkim/;https://linkedin.com/in/adivirsingh13,https://x.com/haakamaujla;https://x.com/michaelhyunkim;https://x.com/adi_singh133,,
Socratix AI,https://www.ycombinator.com/companies/socratix-ai,"AI coworkers for fraud and risk teams. Founded in 2025 by Riya Jagetia and Satya Vasanth Tumati, Socratix AI has 2 employees based in . Socratix AI is hiring for 1 roles in engineering.",B2B;OPERATIONS,,Riya Jagetia;Satya Vasanth Tumati;Socratix AI: AI Coworkers for Fraud and Risk Teams,https://www.linkedin.com/in/riya-jagetia/;https://www.linkedin.com/in/satya-vasanth/;https://www.linkedin.com/in/riya-jagetia/,https://www.linkedin.com/in/riya-jagetia/;https://www.linkedin.com/in/satya-vasanth/;https://www.linkedin.com/in/riya-jagetia/,https://twitter.com/RiyaJagetia;https://x.com/SirWitWit;,,
TraceRoot.AI,https://www.ycombinator.com/companies/traceroot-ai,"Open source AI agents auto-fix your production bugs. Founded in 2025 by Xinwei He and Zecheng Zhang, TraceRoot.AI has 2 employees based in San Francisco, CA, USA.","B2B;ENGINEERING, PRODUCT AND DESIGN",,Xinwei He;Zecheng Zhang,https://www.linkedin.com/in/xinwei-he-586512134/;https://www.linkedin.com/in/zechengzhang/,https://www.linkedin.com/in/xinwei-he-586512134/;https://www.linkedin.com/in/zechengzhang/,https://x.com/xinwei_97;https://x.com/zechengzh,,
Minimal AI,https://www.ycombinator.com/companies/minimal-ai,"AI Agents for E-commerce Customer Support. Founded in 2024 by Titus Ex and Niek Hogenboom, Minimal AI has 2 employees based in San Francisco, CA, USA.",B2B,,Niek Hogenboom;Titus Ex;Minimal: AI Customer Support Teams for E-commerce,https://www.linkedin.com/in/niek-hogenboom/;https://linkedin.com/in/titus-ex-85691711a;https://www.linkedin.com/in/niek-hogenboom/,https://www.linkedin.com/in/niek-hogenboom/;https://linkedin.com/in/titus-ex-85691711a;https://www.linkedin.com/in/niek-hogenboom/,;;,,
stagewise,https://www.ycombinator.com/companies/stagewise,"The frontend coding agent for real codebases. Founded in 2024 by Julian Goetze and Glenn Töws, stagewise has 2 employees based in .","B2B;ENGINEERING, PRODUCT AND DESIGN",,Glenn Töws;Julian Goetze,https://www.linkedin.com/in/glenntws/;https://www.linkedin.com/in/juliangoetze/,https://www.linkedin.com/in/glenntws/;https://www.linkedin.com/in/juliangoetze/,https://x.com/glenntoews;https://x.com/goetzejulian,,
MangoDesk,https://www.ycombinator.com/companies/mangodesk,"Simple platform to create data for AI. Founded in 2025 by Ankith Subramanya and Ananth Subramanya, MangoDesk has 2 employees based in . MangoDesk is hiring for 1 roles in marketing.",B2B,,Ankith Subramanya;Ananth Subramanya,https://linkedin.com/in/ankithsubramanya;https://www.linkedin.com/in/ams29,https://linkedin.com/in/ankithsubramanya;https://www.linkedin.com/in/ams29,;,,
Spotlight Realty,https://www.ycombinator.com/companies/spotlight-realty,"AI powered brokerage reducing residential rental commissions in NYC…. Founded in 2025 by Raymond Allie, Jake Phelan, and Aryan Sharma, Spotlight Realty has 4 employees based in New York, NY, USA.",REAL ESTATE AND CONSTRUCTION,,Raymond Allie;Jake Phelan;Aryan Sharma,https://www.linkedin.com/in/raymond-allie/;https://www.linkedin.com/in/jacob-phelan-9359222a5;https://www.linkedin.com/in/aryansharma12358,https://www.linkedin.com/in/raymond-allie/;https://www.linkedin.com/in/jacob-phelan-9359222a5;https://www.linkedin.com/in/aryansharma12358,;;,,
Outrove,https://www.ycombinator.com/companies/outrove,"Ultra-realistic AI Recruiter. Founded in 2025 by Saif Elhager and Ahmed ElShireef, Outrove has 2 employees based in San Francisco, CA, USA.",B2B;RECRUITING AND TALENT,,Ahmed ElShireef;Saif Elhager,https://www.linkedin.com/in/ahmedelshireef/;https://www.linkedin.com/in/saif-elhager-18b96a202,https://www.linkedin.com/in/ahmedelshireef/;https://www.linkedin.com/in/saif-elhager-18b96a202,https://x.com/elshireef_ahmed;,,
Juxta,https://www.ycombinator.com/companies/juxta,"Building a GPS alternative 100x more powerful with no hardware needed. Founded in 2024 by John Ferrara, Juxta has  employees based in San Francisco, CA, USA.",B2B,,John Ferrara,https://www.linkedin.com/in/ferrara-john/,https://www.linkedin.com/in/ferrara-john/,https://x.com/byjohnf,,
Knowlify,https://www.ycombinator.com/companies/knowlify,"Convert textual content into explainer videos in < 15s. Founded in 2025 by Jonathan Maynard, Ritam Rana, Arjun Talati, and Ritvik Varada, Knowlify has 4 employees based in San Francisco, CA, USA.",B2B,,Ritam Rana;Jonathan Maynard;Arjun Talati;Ritvik Varada,https://www.linkedin.com/in/ritamrana;https://www.linkedin.com/in/jonathanmaynard-/;https://www.linkedin.com/in/arjun-talati;https://www.linkedin.com/in/ritvik-varada/,https://www.linkedin.com/in/ritamrana;https://www.linkedin.com/in/jonathanmaynard-/;https://www.linkedin.com/in/arjun-talati;https://www.linkedin.com/in/ritvik-varada/,;;https://x.com/arjuntalati;,,
The Prompting Company,https://www.ycombinator.com/companies/the-prompting-company,"Before starting The Prompting Company, Kevin, Albert, and Michelle co-founded Typedream (YC W20), an AI website builder acquired by beehiiv, and previously built Cotter, a passwordless authentication SDK acquired by Stytch.",B2B;MARKETING,,Kevin Chandra;Michelle Marcelline;Albert Purnama,https://www.linkedin.com/in/kevin-chandra-88446b33/;https://www.linkedin.com/in/michelle-marcelline/;https://www.linkedin.com/in/albertputrapurnama/,https://www.linkedin.com/in/kevin-chandra-88446b33/;https://www.linkedin.com/in/michelle-marcelline/;https://www.linkedin.com/in/albertputrapurnama/,https://twitter.com/kvnchandra;https://twitter.com/michwirantono;https://twitter.com/albertpurnama,,
Acrely,https://www.ycombinator.com/companies/acrely,"AI CSR + Dispatch for HVAC. Founded in 2025 by Derek Armfield and Alek Stefanov, Acrely has 2 employees based in San Francisco, CA, USA.",B2B,,Alek Stefanov;Derek Armfield,https://www.linkedin.com/in/alexander-a-stefanov/;https://www.linkedin.com/in/derek-armfield/,https://www.linkedin.com/in/alexander-a-stefanov/;https://www.linkedin.com/in/derek-armfield/,;,,
Dedalus Labs,https://www.ycombinator.com/companies/dedalus-labs,"Connect any LLM to any MCP tools and create complex agents in minutes. Founded in 2025 by Catherine Di and Windsor Nguyen, Dedalus Labs has 9 employees based in San Francisco, CA, USA. Dedalus Labs is hiring for 1 roles in engineering.",B2B,,Catherine Di;Windsor Nguyen,https://www.linkedin.com/in/cathydi;https://linkedin.com/in/windsornguyen,https://www.linkedin.com/in/cathydi;https://linkedin.com/in/windsornguyen,https://x.com/itsCathyDi;https://x.com/WindsorNguyen,,
dScribe AI,https://www.ycombinator.com/companies/dscribe-ai,"Computer vision for bulk inventory tracking. Founded in 2024 by Jordan Mryyan, Cole Robertson, and Warren Wijaya Wang, dScribe AI has 3 employees based in Overland Park, KS, USA.",B2B;SUPPLY CHAIN AND LOGISTICS,,Warren Wijaya Wang;Jordan Mryyan;Cole Robertson,https://linkedin.com/in/warrenwang-fnu/;https://linkedin.com/in/jordan-mryyan;https://www.linkedin.com/in/colemrobertson,https://linkedin.com/in/warrenwang-fnu/;https://linkedin.com/in/jordan-mryyan;https://www.linkedin.com/in/colemrobertson,;https://x.com/Jordan_Mryyan;https://x.com/cole__robertson,,
Kernel,https://www.ycombinator.com/companies/kernel,"Crazy Fast Browsers-as-a-Service. Founded in 2025 by Rafael Garcia and Catherine Jue, Kernel has 6 employees based in San Francisco, CA, USA.",B2B;INFRASTRUCTURE,,Catherine Jue;Rafael Garcia,https://www.linkedin.com/in/juecd;https://www.linkedin.com/in/rafgarcia/,https://www.linkedin.com/in/juecd;https://www.linkedin.com/in/rafgarcia/,https://twitter.com/juecd__;https://twitter.com/rfgarcia,,
Autosana,https://www.ycombinator.com/companies/autosana,"AI QA Engineer for Mobile Teams. Founded in 2025 by Jason Steinberg and Yuvan Sundrani, Autosana has 3 employees based in San Francisco, CA, USA.","B2B;ENGINEERING, PRODUCT AND DESIGN",,Yuvan Sundrani;Jason Steinberg,https://www.linkedin.com/in/yuvan-sundrani/;https://www.linkedin.com/in/jason-steinberg-6018261b6/,https://www.linkedin.com/in/yuvan-sundrani/;https://www.linkedin.com/in/jason-steinberg-6018261b6/,https://x.com/YSundrani79540;,,
Closera,https://www.ycombinator.com/companies/closera,"Anmol was a PM at Google, where he monetized Gemini, NotebookLM, and Flow - hitting nine-figure ARR within a week of launch. Previously, Anmol founded an app that had users in 120+ countries and was named one of TechCrunch's top AI stories of the year. For this, he was featured in a Google commercial alongside a Nobel prize winner, Turing award winner, and the Prime Minister of Canada.",B2B,,Anmol Tukrel;Chinmay Patel;Closera: Harvey for Commercial Real Estate,https://www.linkedin.com/in/anmoltukrel/;https://www.linkedin.com/in/chinmayspatel/;https://www.linkedin.com/in/anmoltukrel/,https://www.linkedin.com/in/anmoltukrel/;https://www.linkedin.com/in/chinmayspatel/;https://www.linkedin.com/in/anmoltukrel/,https://x.com/anmoltukrel;;,,
Meteor,https://www.ycombinator.com/companies/meteor,"An AI-Native Browser. Founded in 2025 by Farhan Khan and Pranav Madhukar, Meteor has 2 employees based in San Francisco, CA, USA.",CONSUMER,,Pranav Madhukar;Farhan Khan,https://www.linkedin.com/in/pranav-madhukar-pcm/;https://www.linkedin.com/in/farhankhan4,https://www.linkedin.com/in/pranav-madhukar-pcm/;https://www.linkedin.com/in/farhankhan4,https://x.com/pranavcmadhukar;https://x.com/moggrammer,,
Freya,https://www.ycombinator.com/companies/freya,"Voice AI for European Enterprises. Founded in 2025 by Tunga Bayrak and Tomas Nepala, Freya has 5 employees based in San Francisco, CA, USA.",FINTECH,,Tunga Bayrak;Tomas Nepala;Freya: Voice AI Agents For Financial Services,https://www.linkedin.com/in/tunga-bayrak/;https://www.linkedin.com/in/tomas-nepala;https://www.linkedin.com/in/tunga-bayrak/,https://www.linkedin.com/in/tunga-bayrak/;https://www.linkedin.com/in/tomas-nepala;https://www.linkedin.com/in/tunga-bayrak/,;https://x.com/TomasNepala;,,
GETASAP ASIA,https://www.ycombinator.com/companies/getasap-asia,"Tech-Enabled Distributor for Retailers in Southeast Asia. Founded in 2023 by Raghav Arora and Pranavkrishna Suresh, GETASAP ASIA has 17 employees based in San Francisco, CA, USA.",B2B;SUPPLY CHAIN AND LOGISTICS,,Raghav Arora;Pranavkrishna Suresh;GETASAP ASIA: 8 Hour Distribution for Retailers in Southeast Asia 🏪;TL;DR,https://www.linkedin.com/in/raghav-arora-516b1826b/;https://www.linkedin.com/in/pranavkrishnasuresh/;https://www.linkedin.com/in/raghav-arora-516b1826b/;https://www.linkedin.com/in/raghav-arora-516b1826b/,https://www.linkedin.com/in/raghav-arora-516b1826b/;https://www.linkedin.com/in/pranavkrishnasuresh/;https://www.linkedin.com/in/raghav-arora-516b1826b/;https://www.linkedin.com/in/raghav-arora-516b1826b/,;https://x.com/PKrishnaSuresh;;,,
Finto,https://www.ycombinator.com/companies/finto-de,"AI accounting for enterprise finance teams. Founded in 2025 by Linus Boehm, Jonas Morgner, and Lorenz Neuner, Finto has 3 employees based in .",B2B;FINANCE AND ACCOUNTING,,Jonas Morgner;Linus Boehm;Lorenz Neuner;Finto - AI Accounting for Enterprises,https://www.linkedin.com/in/jonasmorgner/;https://www.linkedin.com/in/linus-boehm/;https://www.linkedin.com/in/lorenz-neuner/;https://www.linkedin.com/in/lorenz-neuner/,https://www.linkedin.com/in/jonasmorgner/;https://www.linkedin.com/in/linus-boehm/;https://www.linkedin.com/in/lorenz-neuner/;https://www.linkedin.com/in/lorenz-neuner/,https://x.com/FintoAI;;;,,
Adaptional,https://www.ycombinator.com/companies/adaptional,"AI copilot for insurance underwriters. Founded in 2024 by Kevin Cox and Suril Kantaria, Adaptional has 4 employees based in San Francisco, CA, USA.",B2B,,Kevin Cox;Suril Kantaria,https://www.linkedin.com/in/kevin-cox-90337b47/;https://www.linkedin.com/in/suril-kantaria-59522922/,https://www.linkedin.com/in/kevin-cox-90337b47/;https://www.linkedin.com/in/suril-kantaria-59522922/,;,,
Iron Grid,https://www.ycombinator.com/companies/iron-grid,"AI Insurance for hardware. Founded in 2025 by Fern Morrison and Gabriele Pozzato, Iron Grid has 2 employees based in .",FINTECH;INSURANCE,,Fern Morrison;Gabriele Pozzato,https://www.linkedin.com/in/elizabeth-fern-morrison/;https://www.linkedin.com/in/gabriele-pozzato-ph-d-2167a2107/,https://www.linkedin.com/in/elizabeth-fern-morrison/;https://www.linkedin.com/in/gabriele-pozzato-ph-d-2167a2107/,;,,
Relling,https://www.ycombinator.com/companies/relling,"Data and infra for world models. Founded in 2025 by Jai Relan and Anya Singh, Relling has 2 employees based in San Francisco, CA, USA. Relling is hiring for 1 roles in operations.",B2B;INFRASTRUCTURE,,Jai Relan,https://www.linkedin.com/in/jairelan/,https://www.linkedin.com/in/jairelan/,https://twitter.com/JaiRelan,,
Pingo AI,https://www.ycombinator.com/companies/pingo-ai,"AI companion that helps you learn languages. Founded in 2025 by Morrie Schonfeld and Michael Xing, Pingo AI has 2 employees based in . Pingo AI is hiring for 1 roles in engineering.",CONSUMER,,Michael Xing;Morrie Schonfeld,https://www.linkedin.com/in/michael-xing-04216821a/;https://www.linkedin.com/in/morrie-schonfeld-1628002b1?utm_source=share&utm_campaign=share_via&utm_content=profile&utm_medium=ios_app,https://www.linkedin.com/in/michael-xing-04216821a/;https://www.linkedin.com/in/morrie-schonfeld-1628002b1?utm_source=share&utm_campaign=share_via&utm_content=profile&utm_medium=ios_app,https://x.com/mrmukeee;https://x.com/MorrietheMoosee,,
